name,state,city,address,lattitude,longitude,type
HP Pitam Pura DC Charging Station,Delhi,New Delhi,"HP PETROL PUMP - AUTO CARE CENTRE PITAM PURA, Pitampura, Delhi, India",28.6962,77.155,12
HPCL Yapral DC Charging Station,Telangana,Secunderabad,"Hindustan Petroleum Corporation Limited, Jai Jawahar Nagar, Yapral, Secunderabad, Telangana, India",17.502,78.539,12
HP Super Service DC Charging Station,Maharashtra,Mumbai,"157, Jeevan Bima Marg, Backbay Reclamation, Churchgate, Mumbai, Maharashtra 400020, India",18.9285,72.8255,12
Vrundavan Garden DC Charging Station Nashik,Maharashtra,Dindori,"Vrundavan Garden, Nashik Dindori Road,Near Shiv Shakti Bharat Petrol pump,Rantale, Dindori, Maharashtra 422202",20.1704,73.8273,12
Ganpati Petro DC Charging Station Hisar,Haryana,Sangli,"Ganpati Petro, Indian Oil Corporation, Opp. Vidut Nagar, Delhi Road, Industrial Area, Hisar, Haryana 125011",29.1332,75.7535,12
Ganpati Petro AC Charging Station Hisar,Haryana,Sangli,"Ganpati Petro, Indian Oil Corporation, Opp. Vidut Nagar, Delhi Road, Industrial Area, Hisar, Haryana 125011",29.1332,75.7535,12
Ashnni Pilot Circle Station,Maharashtra,Sangli,"Gangaprasad, parshwanath colony, kuthe mala, dhamni road, Sangli, Maharashtra,  416416",16.8433,74.5859,12
AMC AC Charging Station,Maharashtra,Marunji,"Phase 1, Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi, Pimpri-Chinchwad, Maharashtra 411057",18.5808,73.7399,12
RSTV Saharanpur AC Charging Station,Uttar Pradesh,Saharanpur,"Nanak Puram Colony, Pushpanjali Vihar, Numaish Camp, Saharanpur, Uttar Pradesh 247001",29.977,77.5753,12
Mindra EV Charger Shott,Gujarat,Shela,"Shott, Sindhu Bhavan Marg, Opposite Saket-3, Next to SANKALP SQUARE, PRL Colony, Thaltej, Ahmedabad, Gujarat 380059",23.0436,72.4825,12
Highway King Behror Delhi Side DC Charging Station,Rajasthan,Gajraula,"Highway King Behror, NH 8, 3 Kms from behror towards delhi, Behror, Rajasthan 301701",27.9145,76.3146,12
Suket Cafe DC Charging Station Sundar Nagar,Himachal Pradesh,Gajraula,"Suket Cafe, Pungh, National Highway 21, Sundar Nagar, Himachal Pradesh 175018",31.5153,76.8765,12
McDonald Gajraula DC Charging Station,Uttar Pradesh,Gajraula,"McDonald Gajraula, NH9-24 Salarpur, Dist, Gajraula, Uttar Pradesh 244235",28.8382,78.2764,12
Rani Bagh Resort DC Charging Station,Rajasthan,Beawar Khas,"Rani Bagh Resort, N.H.8, By Pass Ajmer Road, Beawar, Rajasthan 305901",26.125,74.3459,12
Mke Rental Circle Station,Karnataka,Bengaluru,"Mke Rental Private Limited, NH4, Tumkur Road, next to Himalaya Drugs, Makali, Karnataka 560016",13.067,77.45,12
Waterwoods Lodge & Resort AC Charging Station,Karnataka,Metikuppe,"19, Karapura, N.Belthur Post Office, HD Kote Taluk, Nagarhole National Park, Karnataka 571114",11.9377,76.2655,12
Kohinoor Altissimo Residential Tower,Maharashtra,Mumbai,"Kohinoor Altissimo Residential Tower, Kohinoor Altissimo, Kasaravadi, Dadar, Mumbai, Maharashtra 400028",19.0246,72.8402,12
Hotel Pramila DC Charging Station Haridwar,Uttarakhand,Haridwar,"Hotel Pramila, Near Vishwakarma Ghat, NH-58,Delhi Haridwar ByPass, Road, Haridwar, Uttarakhand 249407, Phone No 9310843937",29.9324,78.1423,12
P G Regency Resort Charging Station,Maharashtra,Mahad,"PG Regency,Govind Garden,103/1B, Plot no.4, Mumbai Goa HighWay, Mahad-Raigad, Mahad, Maharashtra 402301 Ph no. 7039892236",18.0855,73.4309,12
Suket Cafe AC Charging Station Sundar Nagar,Himachal Pradesh,Bengaluru,"Suket Cafe, Pungh, National Highway 21, Sundar Nagar, Himachal Pradesh 175018",31.5153,76.8765,12
The Forum Fiza Mall AC Charging Station Mangalore,Karnataka,Thane,"Basement parking (B1), The Forum Fiza Mall, Mangaladevi Temple Road, Pandeshwar, Mangalore - 575001",12.8576,74.8383,12
MSHSD Gojer Service Charging Station    ,Karnataka,Bengaluru,"Bettadasanapura, Bengaluru, Karnataka 560100",12.8427,77.64,12
Evershine Mall Charging Station,Maharashtra,Mumbai,"Chincholi Bunder Road, New Link Rd, Malad West, Mumbai, Maharashtra 400064",19.1798,72.8361,12
HP Loyal Pump and Pantry Fuel Charging Station,Telangana,Secunderabad,"42-601, SP NAGAR, ECIL Main Rd, SSS Tower, MJ Colony, Moula Ali, Secunderabad, Telangana 500040",17.4677,78.5641,12
Hotel Reddison Square Katra AC Charging Station,Delhi,New Delhi,"Hotel Reddison Square, near shrine board central office, Katra, Jammu and Kashmir 182301, Phone No 9310843937",32.9867,74.9238,12
Hotel Mount View International AC Charging Station,Delhi,New Delhi,"Hount Mount View International, Jammu Rd, Vaishnodevi, Katra, Jammu and Kashmir 182301",32.9918,74.9306,12
Hotel Dolphin AC Charging Station,Delhi,New Delhi,"Hotel Dolphin, Railway Rd, Katra, Jammu and Kashmir 182301",32.9892,74.9289,12
"DMIPL EV Charging Station, Ludhiana",Punjab,Natt,"Dalbir Makkar India Pvt. Ltd., Ludhiana-Malerkotla Road, Opp. J K Resort, Rania, Ludhiana - 141122 (Punjab), Phone no 9814215411, 9316916147",30.8219,75.8668,12
Z Charging Station,Gujarat,Vadodara,"Sai Vihar, Abbas Tyabji Rd, Jayesh Colony, Fatehgunj, Vadodara, Gujarat 390002",22.3213,73.1881,12
VEEV Brookfields,Tamil Nadu,Coimbatore,"67-71, Dr Krishnasamy Mudaliyar Rd, Ram Nagar, Coimbatore, Tamil Nadu 641001",11.0096,76.9589,12
Lake Pleasant Cottage Charging Station,Uttarakhand,Bhimtal,"Naukuchiyatal  Bhimtal, Near GD Goenka School 263136 - UK",29.3237,79.5921,12
Nandavan DC Charging Station Nagoan,Maharashtra,Nagaon,"Nandavan, Mahajan Wadi, Near Bhimeshwar Mandir, At Post Nagaon, Taluka Alibag, Dist. Raigarh, Pin 402204, Phone no Kedar Bane, +919923724004, Prashant Mahajan - +919619174428",18.6184,72.9004,12
Uniworld Garden Charging Station,Haryana,Gurugram,"Plot No 1025, 2nd Floor, C block , sector 47, Haryana 122008",28.4273,77.0389,12
Unnati Social Foundation,Maharashtra,Pimpri-Chinchwad,"Unnati Social Foundation Jarvari Society, Opposite PK International School, Pimple Saudagar, Pune",18.5948,73.7975,12
"HP PETROL PUMP - SAI PETROLEUM,MUMBAI",Maharashtra,Bengaluru,"Village Katai gao, Kalyan - Shilphata Rd, Dombivli East, Mumbai, Maharashtra 421203",19.1709,73.0819,12
"ShriSamarth DC Charging Station, Beed",Maharashtra,Bengaluru,"EV Charging Station, Near Mancott Jining Gevrai Road, NH 61, Phule Pimpalgaon, Maharashtra 431142",19.1779,76.168,12
CNV Enterprises - HP Petrol Pump,Karnataka,Bengaluru,"No 65/20,Nallurahalli Siddapura main road,Nallurahalli main rd., Whitefield, Bengaluru,Karnataka-560066.",12.9653,77.7331,12
Unity Mall Charging Station Vasai,Maharashtra,Vasai-Virar,"Unity Mall, Stella Road, next to Big Bazzar, Bhabola, Vasai West, Maharashtra 401201",19.3593,72.8123,12
Advant IT Park DC Charging Station Noida,Maharashtra,Greater Noida,"Advant IT Park, Plot No. 7, Noida-Greater Noida Expy, Sector 142, Noida, Uttar Pradesh 201305",28.5007,77.4102,12
Trimurtys Ariana AC Charging Station,Rajasthan,Jaipur,"Trimurtys Ariana, Khasara No 211-213, Sector 30, Ramnagaria, Tehsil, Sanganer, JDA Colony, Jagatpura, Jaipur, Rajasthan 302017",26.8312,75.8663,12
Nandi Park Apartments,Karnataka,Bengaluru,"Nandi Park Apartments Gottigere, Bengaluru, Bangalo Karnataka, Indiare, Bangalore, Karnu0101taka",12.8585,77.593,12
Crowne Plaza Jaipur,Rajasthan,Jaipur,"Plot No SP 1, Sitapura Industrial Area, Tonk Road, Jaipur, Rajasthan, 302022 ",26.7797,75.8282,12
Pendse Garage AC Charging Station,Maharashtra,Nashik,"Pendse Garage, At post diveagar tal Shriwardhan dist raigad 402404 Phone: 9423837934",18.1655,72.9929,12
Hans Resort DC Charging Station Rewari,Karnataka,Nashik,"Hans Resort, 91 Milestone, Delhi-Jaipur Highway, near Kasola Chowk, Rewari, Haryana 123401",28.1254,76.6368,12
Saviruchi Veg DC Charging Station Mysore,Karnataka,Nashik,"Saviruchi Veg, Sri Venkateshwara Arcade, Malavalli, Karnataka 571430",12.3847,77.0532,12
ElectriVA Test Station,Delhi,New Delhi,"3409/1, 3rd Floor, Desh Bandhu Gupta Rd, Karol Bagh, New Delhi-110005",28.6539,77.1905,12
Sarode Motors Ac EV Charging Station Nashik,Maharashtra,Nashik,"Sarode Motors | Joy eBike, Shop No.01, Beside of Hotel Happy Foods, Sarode Motors, nearby Balbharati, Lekha Nagar, Nashik, Maharashtra 422010",19.9758,73.776,12
The Nile AdPod,Haryana,Gurgaon,"The Nile, Sohna, Gurgaon - Delhi Expy, Rosewood City, Ghasola, Sector 49, Gurugram, Haryana 122018",28.4113,77.051,12
Hotel Daulat Nikol Fast Charging Station,Maharashtra,Nashik,"Hotel Daulat Food Mall, Mumbai Agra Highway, Shirwade (Vani) Tal: Niphad, Dist: Nashik",20.2137,74.041,12
New Udaan Bhawan AdPod 1,Haryana,Gurgaon,Indira Gandhi International Airport,28.553,77.0944,12
New Udaan Bhawan AdPod 2,Haryana,Gurgaon,Indira Gandhi International Airport,28.5537,77.0943,12
TDPL EV Charging Station 1,Rajasthan,Jaipur,,26.9159,75.723,12
Hotel The Executive Inn AC Charging Station,Maharashtra,Shirdi,,19.7592,74.4763,12
Hotel Bliss County DC Charging Station,Maharashtra,Dhule,,20.8292,74.7485,12
Savoy Suites Manesar,Haryana,Gurugram,,28.3664,76.9436,12
MV EV DC Charging Station,Maharashtra,Dahanu,,19.9883,72.7488,12
Jamoliwala AC Charging Station,Uttarakhand,Dehradun,,78.0654,30.3886,12
TDPL EV Charging Station 2,Rajasthan,Jaipur,,26.8807,75.6143,12
Bhajan Singh Da Dhabha DC Charging Station,Maharashtra,Talegaon Dabhade,,18.7005,73.6933,12
Hotel Prabhat Palace DC Charging Station,Jammu and Kashmir,Katra,,32.9899,74.9255,12
TSREDCO Test Charging Station,Telangana,HYDERBAD,,17.4123,78.4598,12
TSREDCO Test Charging Station 1,Telangana,HYDERBAD,,17.4125,78.4603,12
Mehak Garden Charging Station,Haryana,Sirsa,,29.528,75.1325,12
Savoy Suites Noida,Uttar Pradesh,Noida,,28.5801,77.3152,12
Savoy Suites Greater Noida,Uttar Pradesh,Greater Noida,,28.4648,77.5084,12
Hotel Highway King Shahpura DC Charging Station,Rajasthan,Shahpura,,27.487,76.0523,12
Aman Hotel Kurukshetra DC Charging Station,Haryana,Shabhad,,30.2059,76.8575,12
Evershine Tower Jaipur DC Charging Station,Rajasthan,Jaipur,,26.9121,75.7433,12
Hotel Shree Veg Solapur DC Charging Station,Maharashtra,Bhadalwadi,,18.3289,74.7794,12
Subway Alwar DC Charging Station,Rajasthan,Alwar,,28.1967,76.8128,12
Asli Pappu Dhaba Kosi Kalan DC Charging Station,Uttar Pradesh,Kosi Kalan,,27.8327,77.4194,12
140% Veg Gulshan Dhaba Kotwan DC Charging Station,Uttar Pradesh,Kotwan,,27.8468,77.4082,12
Synrgy Ebikes Charging Station,Maharashtra,Nashik,,19.9705,73.7528,12
ChargePit eMobility Charging Station,Maharashtra,Pune,,18.5996,73.7809,12
MESCOM Shivamogga Charging Station 1,Karnataka,Shivamogga,,13.9419,75.5816,12
MESCOM Mudigere Charging Station,Karnataka,Karadagodu,,13.1459,75.6419,12
Karkala Charging Station,Karnataka,Karkala,,13.2244,74.9802,12
MESCOM Surathkal Charging Station,Karnataka,Surathkal,,12.9875,74.8048,12
Kaup Charging Station,Karnataka,Kaup,,13.2338,74.7471,12
Bramavara Charging Station,Karnataka,Bramavara,,13.4381,74.7433,12
Kundapura Charging Station,Karnataka,Kundapura,,13.6186,74.6919,12
Manipal Charging Station,Karnataka,Manipal,,13.3334,74.7884,12
MESCOM Aldur Charging Station,Karnataka,Chikkamagaluru,,13.3319,75.7731,12
Statiq RnD Centre DC Charging Station,Haryana,Gurgaon,,28.4997,77.0839,12
Park Plaza Gurgaon DC Charging Station,Haryana,Gurugram,,28.4597,77.0758,12
PADMASHREE Charging Station,Karnataka,Mudbidri,,13.074,75.0025,12
Monsoon Breeze AdPod,Haryana,Gurugram,,28.3687,76.966,12
Decathlon Anubhava,Maharashtra,bengaluru,"Survey No 78/10, A2, Bellary Road, Bangalore Airport Road, Chikkajala,",13.169102,77.632018,6
Forum Shantiniketan,Maharashtra,bengaluru,"Whitefield Main Road, Hoodi, Thigalarapalya, Krishnarajapura, Bengaluru, Karnataka ",12.9892355,77.7279077,6
Park Square Mall,Maharashtra,bengaluru,"UB1 Parking.40, ITPB Main Road, International Tech Park, Whitefield Main Rd, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066",12.9872999191284,77.7363967895508,6
GT World Mall,Maharashtra,bengaluru,"Magadi Main Rd, next to Prasanna Theatre, Cholourpalya, Bengaluru, Karnataka 560023",12.9739999771118,77.551399230957,6
Orion Mall,Maharashtra,bengaluru,"Dr Rajkumar Road, Rajajinagar,",13.011065,77.554534,6
Phoenix Market City,Maharashtra,pune,"S No 207, Viman Nagar Road, Phoenix Road, Viman Nagar, Pune, Maharashtra",18.5619189099244,73.9166807269854,6
Phoenix Market City,Odisha,bengaluru,"Whitefield Main Road, Mahadevpura, Bengaluru, Karnataka 560048",12.9970998764038,77.6962966918945,6
Patel's Inn,Odisha,bengaluru,"No 1, 15th Cross, 2nd Block, Govindaraj Garden, R.T Nagar, ",13.0209071,77.5979841,6
Coco Jaunt 1728 - Anna Nagar,Pondicherry,chennai," t-2, 4th Main Rd, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040",13.0902004241943,80.2174987792969,6
Infinitea,Punjab,bengaluru,"6,ESI Hospital Road HAL 2nd Stage, 100 feet road, Indiranagar, Doopanahalli, Bengaluru, Karnataka",12.9689998626709,77.6361999511719,6
The Only Place,Punjab,bengaluru,"Siddam Setty Complex, Museum Rd, Next To, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",12.9730997085571,77.6033020019531,6
Fab Cafe,Rajasthan,bengaluru,"915, Kenchena Halli Rd, Remco Bhel Layout, Kenchenhalli, RR Nagar,560098",12.934100151062,77.5171966552734,6
The Moonshine Project restaurant Jubilee Hills,Rajasthan,hyderabad,"385, Road Number 82, Film Nagar, Jubilee Hills, ",17.4141998291016,78.4076995849609,6
Almond House Banjara Hills,TamilNadu,hyderabad,"8-2-350/3/1, Next to Meena Bazar, Rd Number 3, Panchavati Society Colony, AK Enclave, Green Valley, Banjara Hills, Hyderabad, Telangana ",17.4270191,78.4434192,6
Go Native,TamilNadu,bengaluru,"#64, 10th Main Rd, 4th Block, 5th Block, Jayanagar, Bengaluru, Karnataka 560041",12.922504,77.58476,6
TORQ92,TamilNadu,bengaluru,"15, 5th Cross Road, Shantivana, Next to Sterling Park Apts, Kodigehalli Main Road, Sahakara Nagar, Bengaluru",13.057629,77.5871507,6
AtherSpace Indiranagar,TamilNadu,bengaluru,"53, - 3rd main, 100th Feet Road, Defence Colony, Indira Nagar",12.9756002426147,77.6411972045898,6
Royal Airavatha,Telangana,bengaluru," #749/1, Near R V Engineering College",12.9223003387451,77.4954986572266,6
Kriyates - Thoraipakkam,Telangana,chennai,"No.361,Omr Escapade, Mada Koil Street, Okkiam, Thoraipakkam, Vivekananda Nagar, Thoraipakkam, Chennai, Tamil Nadu 600097",12.924971,80.233677,6
Phoenix Market City - Velachery,Telangana,chennai,"142, Velachery Rd Indira Gandhi Nagar, Velachery Chennai, Tamil Nadu 600042",12.9914084,80.2143054,6
Forum Vijaya Mall - Vadapalani,Telangana,chennai," B1 Basement, No. 183, Arcot Road, NSK Salai, Vadapalani, Chennai, Tamil Nadu 600026",13.049952,80.209499,6
Ampa Skywalk,Telangana,chennai,"No:1, Nelson Manickam Road, 627, Poonamalee High Road, Aminjikara",13.0734394,80.2214957,6
AtWorks - Guindy,Uttarakhand,chennai,"39, North Parade Road, Chakrapani Colony, St Thomas Mount, Chennai, Tamil Nadu ",13.0060668,80.1999835,6
Cafe Azzure,Uttrakhand,bengaluru,"No 315, CMR Road, 3rd Block, HRBR Layout, Kalyan Nagar,",13.023563,77.635275,6
Almond House Kukatpally,WestBengal,hyderabad,"490, JNTU - Hitech City Road, K P H B Phase 3, Kukatpally, Hyderabad, Telangana",17.485859,78.39042,6
Sarath City Capital Mall,Harayana,hyderabad,"Capital Mall, GF-070 & 071, Sarath City, Gachibowli - Miyapur Rd, Forest Dept Colony, Kondapur, Hyderabad, Telangana ",17.456842,78.364575,6
Atherspace Chennai,Chandigarh,chennai,"No.153, Wallace Garden 2nd St, Thousand Lights West, Nungambakkam, Chennai, Tamil Nadu 600006",13.060965,80.248509,6
Athergrid CP,Haryana,delhi,"A 221 road no 6, D Block, Connaught Place, New Delhi, 110037",28.633714,77.221904,6
The Bangalore Bakery,Maharashtra,bengaluru,"No 30, Ground Floor, 1st Cross Road, Malleshwaram, ",12.9941754,77.57121,6
Almond House SD Road,Delhi,hyderabad,"9-1-109/1B, Regimental Bazaar, Shivaji Nagar,",17.441011,78.503158,6
Chai Kahani - Sainikpuri,Hyderabadu00a0,hyderabad,"colony, 1st Cross Vayupuri, Verka Residency, Vayupuri, Sainikpuri",17.486819,78.5431269,6
"Swiss Castle, Vidyanagar",Punjab,hyderabad,"2-1-565/F/4, Nallakunta Main Rd, Vidya Nagar, Adikmet, Hyderabad",17.400595,78.508078,6
Bliss Bakery & Cafe,Delhi,pune,"Narayan Tower, near, Narayan Annaji Shinde Rd, Salunkhe Vihar Society, Kondhwa, Pune, Maharashtra ",18.4788385,73.9013856,6
Flip Side,Delhi,hyderabad,"ISB Rd, Financial District, Nanakramguda, Hyderabad, Telangana",17.4139784,78.3275492,6
Taj Mahal Hotel,TamilNadu,hyderabad,"5-9-502, Gun Foundry Street Number 1, Gun Foundry, Abids",17.3916834,78.4766724,6
Sai Menaka Commercial Complex,TamilNadu,bengaluru,"1599/01, BB Main Road, Nehru Nagar, Next to Old Postoffice, Old Town, Yelahanka",13.098157,77.59673,6
IDC Kitchen,Gujarat,bengaluru,"No 67, 80 Feet Road, KGEHBS Layout, Devasandra, RMV 2nd Stage, Armane Nagar,",13.028052,77.572997,6
Kalinga Veg Gourmet Kitchen,Kerala,pune,"1st - 3rd Floor, House of Nosh, CTS 1365, Gulawani Maharaj Road, Swaroop Society, Vakil Nagar, Erandwane, Pune, Maharashtra ",18.5050103,73.8316238,6
CopaCabana,Maharashtra,pune,"Near, Aundh-Wakad Road, Jagtap Dairy Rd, Vishal Nagar, Pune, Maharashtra 411027",18.5887678,73.7825231,6
TamTree,AndhraPradesh,pune,"Shop No.5, Pragati Bhavan, Behind Natural Ice Cream shop, Ghole Rd, near Bal Gandharva Chowk, Shivajinagar, Pune, Maharashtra ",18.5231567,73.8476929,6
KB's Woodlands,TamiNadu,pune,"B J Road Railway Station, Sadhu Vaswani Rd, near Pune, Maharashtra,Sadhu Vaswani Chowk",18.525182,73.8758609,6
"Sangeetha Mobiles, Chandra Layout",TamilNadu,bengaluru,"Shop #89/A, G Floor, 9th Cross Rd, Chandra Layout",12.9607,77.529186,6
SPR CHENNAI FOOD COURT,Karnataka,chennai,"OLD NO: 76 , NEW NO: 112, VANAGARAM, Poonamallee High Rd, Chennai, Tamil Nadu 600095",13.0610823,80.1519339,6
VMR Squares,Goa,chennai,"No. 5 & 6 Next to Tollgate, 200 Feet Radial Rd, Oggiyamduraipakkam, Tamil Nadu",12.9500859,80.2365626,6
"Chai Kings, Porur",Gujarat,chennai,"No - 1/128 Ground Floor, Truck Road Iyyappanthangal, Porur",13.0370409,80.1398795,6
Ather Space Hyderabad,Jharkhand,hyderabad,"Plot no. 1 & 2, Survey No - 64P, Rohini Layout Opp Shilparamam, Hitech City, Madhapur",17.452666,78.380343,6
M's Street,Delhi,chennai,"N0, 396/1, Mambakkam - Medavakkam Main Rd, Munusamy Nagar, Vimala Nagar, Medavakkam",12.9149592,80.1920666,6
Noma Talkies,Kerala,hyderabad,"3-4-99, Nacharam - Mallapur Rd, May Flower Hights, Vivekananda Nagar, Mallapur, Secunderabad, Telangana",17.447469,78.57175,6
Regenta Central Antarim,WestBengal,ahmedabad,"Between Girish Coldrink and Xaviers Corner, Chimanlal Girdharlal Rd, Navrangpura, Ahmedabad, Gujarat ",23.0331669,72.5568133,6
"French toast, Panampilly Nagar",WestBengal,kochi,"8th Cross, Street B, Ambikapuram Rd, Panampilly Nagar, Ernakulam, Kerala",9.960854,76.2939207,6
"French Toast, Kacheripady",Bihar,kochi,"Chittoor Rd, near Westend Eye Hospital, Kacheripady, Kochi, Kerala ",9.9878416,76.2827333,6
Centre square mall,Tamil Nadu,kochi,"40/6972, Mahatma Gandhi Rd, Rajaji Junction, Kochi, Kerala ",9.9779338,76.2808706,6
The Food Drama,Tamil Nadu,ahmedabad,"Besides Geetanjali Party Plot, near sterling cancer hospital Sindhu bhawan road Bodakdev, Ahmedabad, Bodakdev, West, Thaltej, Ahmedabad, Gujarat",23.044056,72.5099616,6
Tea Post - The Desi Cafe,Tamil Nadu,ahmedabad,"Nr. Taj Lane Hotel, Sankalp Square Lane Nr. S. P. Ring Road, Sindhu Bhavan Marg, Road, Ahmedabad, Gujarat",23.04574,72.483755,6
