review,Used it for,Owned for,Ridden for,rating,Visual Appeal,Reliability,Performance,Service Experience,Extra Features,Comfort,Maintenance cost,Value for Money,Model Name
"I have used jupiter and activa both. But this is an electric vehicle technically but when it comes to riding experience it feels the same. So my suggestion is to go for it!
The best pro is savings, savings and savings!
Buy one asap!!
A. It's an Indian brand.
B. Make clean air available for our kids and for us too!",Daily Commute,6 months-1 yr,< 5000 kms,5,5,5,,5,,5,,5,TVS iQube
How good the TVS iQube EV scooter is a very much premature stage to claim how good it is in the field conditions. But some of the points to be looked can be discussed as follows. Battery - with it’s 2.2 kw battery it’s more than enough in city ride conditions say for everyday commute. With this power iqube offers a range of 75 km/h which is slightly better than Chinese rebadged scooters from other competitors. Motor power of 4.5 kw offers a better acceleration of 0–40kmph in 4.2 seconds which is slightly better too given the other competitors. A kerb weight of 118 kgs offer better dynamic riding conditions. With the low price tag next to Chetak as 1.15 lakhs is literally a competitive priced EV scooter in India than Ather and other vehicles. A charging time of 4–5 hours is enough for a day's ride with average city riding office to home commute. With geo-fencing and other loaded options vehicle looks cooler and slim compared to the others in market. Personally i would say the final performance and acceptability verdict is to be given by the sales numbers alone. That will really show how good the acceptance rate of the vehicle is. Thanks.,Daily Commute,Never owned,,5,4,5,,5,,5,,5,TVS iQube
"I want to buy a electric bike in my city but there are no dealers here, so please give the dealership address in anantapur as early as possible.",Daily Commute,> 1 yr,> 15000 kms,5,5,5,,4,,5,,4,TVS iQube
"One of my close aides owns it I had ridden his this vehicle, a terrific scooter like TVs wego which I own since 2012, balance manageability, terrific look, outstanding performance on road, cons range should be more, less pricing as if it's at per with wego price more buyers will take it, all subsidy TVs is absorbing, not passing to customers as they have base price despite taking fame subsidy from the government, bad business practice, the government should look into this. This will help more buyers for TVS.",Occasional Commute,Never owned,,5,4,4,,4,,4,,2,TVS iQube
"I bought tvs iqube on sep 14 2021 and within one week it disappointed me according to the body condition, the rear housing panel cracked. I was not aware that its a manufacturing defect and I spent my money and replaced it, but after that within 4 to 5 days i went to the dealership and complained about it and i was told as if i have done that and after too much of shouting with the service people and mailing to customer care and also to tvs motor company. Riding in the same condition, cracks got extended till the front panel is also damaged.
I got a return mail saying that our representative will be contacting you and i got a phone call from the dealership and was asked to come on 18 oct 2021. I went on that day and left my scooter for fixing and until today its with them and there is no clarity of what is happening, if i call they are saying will call me and update and its almost 1 week now and I don't have my own scooter to move around. Still awaiting for the response.",Daily Commute,< 3 months,< 5000 kms,2,2,1,,2,,,,2,TVS iQube
"The price is good with the features available on a scooter. The state govt of Chhattisgarh should also give a subsidy on this. The color range is also wide and the features like disk brack, mobile charging, etc are really very useful. The person who travels daily 60-90 kms per day must buy this to save fuel and the environment. Nice scooter.",Daily Commute,Never owned,,4,4,4,,4,,3,,5,TVS iQube
"The bike's battery got dead in just 3months. I'm waiting for a month to get it replaced, however, the spare is not available. I just get a new date every time I visit the service center. Don't buy!!
It drives very smoothly, and the built quality is also beautiful too, but if it doesn't work, it's of no use.",Daily Commute,< 3 months,< 5000 kms,1,4,2,,1,,4,,1,TVS iQube
"Wanna buy this bike so i gave basic information to the company to get response but only fraudsters calls me in the name of revolt for online fraud so there's a data leakage also besides this i've changed my mind to buy this after reading reviews of owners and company response.
Pathetic response from revolt.",Everything,Never owned,,1,3,1,3,1,4,,,,Revolt RV 400
"This is simply amazing and exceptionally well and good. The price seems to be little bit high when compare to its features. I have fully satisfied with the stylish in two variant colors. It would be more better if you can add one more gray color. I believe, this going be rocking henceforth step into the market.",Everything,> 1 yr,< 5000 kms,5,5,5,5,5,,5,,,Revolt RV 400
"Battery life is good, I like this bike very much. no tension of refueling. In city riding it is the best I have ever seen. The special about this bike is 7 year battery makes trusted vehicle. It is the first even electric bike. Performance are as per below 1. At maximum speed limit of 42 km/hrs. Total range 140 km. 2. At maximum speed limit of 60 km/hrs. Total range 95 km. 3.at maximum Speed limit of 80 km./hrs. Total range 80 km",Everything,< 3 months,< 5000 kms,5,4,4,5,3,,4,,,Revolt RV 400
I seen this bike on road. Very nice bike and good for drive and no pollution .This bike pollution free this is very good . My dream buy this bike .This bike all city drive and very good for highway . I am very excited for buy this bike .My dream this bike buy and drive comfortable and so good bike.,Everything,Never owned,,5,5,5,5,5,,5,,,Revolt RV 400
"I have a rv400 I have the bike for almost more than a year now, never ever the bike gave me an average of more than 70 kms in a single full charge, I hardly get 65 kms on mode 1. Informed the same to the service center, they asked me to swap the battery, done it many times still the problem continues on and on no matter what the bike never gave me an average of more than 70 whereas I ride on mode one itself.",Daily Commute,> 1 yr,5000-10000 kms,1,2,1,1,2,,3,,,Revolt RV 400
Buying experience of Revolt 400 bike. It is usually in Tamulpur Assam. About looks and performance its good but am looking forward to service and maintenance.,Leisure Rides,> 1 yr,> 15000 kms,3,1,5,1,1,,3,,,Revolt RV 400
"We'll, this bike will meet the interests of many Indians, in many factors, excluding a few like riding range and speed. But still, if you're daily riding range is less than 130-120 kms and able to maintain an idle speed of 60 to 70 km/h, then this bike will serve you the best. In terms of braking, combined braking system is provided and it's performing just as much as required. Ergonomics are good, comfort factor is well prioritized by the makers. The bluetooth connectivity is an interesting element which grabs the attention of the youth. Although there are plenty of features on the app which are necessary in the present day, but the throttle sound feature was awesome. That's the feature which makes the bike special when compared to the other ev's in the nation. In terms of electrical vehicles it's worthy to get a new bike as early as possible. The main reason is, governments are encouraging, fuel prices are peaking (even if they get back to normal, prices will rise in the near future), and it's always good to get adapted with the changes.
At last this bike provides all the features similar to a 150cc naked bike, apart from the ride range and gearing feel.",Leisure Rides,Never owned,,5,4,4,4,4,4,,5,,Revolt RV 400
"Buying experience is awesome, riding performance is great than oil bikes, coming to looks it's very pretty like sports bike, good servicing and maintenance by showroom. I very thankful to my brother who gave me suggestion to buy the electric bike revolt rv400 and now i also suggested to people to buy electric bikes. Thank you.",Daily Commute,6 months-1 yr,< 5000 kms,5,,,,,,,,,Revolt RV 400
Value for money. Really a thumbs up for the bike as petrol prices have gone up this bike is like a game changer for bike lovers its performance looks and running cost of bike are really impressive and now when government is giving subsidy everyone should change their bike to RV 400.Its simply the best.,Everything,Never owned,,5,5,5,5,5,5,,5,,Revolt RV 400
"Please give protection to the battery, because once my neighbor was searching for his battery, someone stole his battery from parking. There is no protection to the battery given by the company so please understand.",Daily Commute,Never owned,,4,,,,,,,,,Revolt RV 400
"First of all , it's a great bike for daily use , you will not have any problem if you are going to use it for traveling daily 30 to 40 kms , but when it comes to weight it is a little more but we have to compromise it to have a great motor power. It was not available for a month near my residence but I got it after 1 month so you can call the supplier and book it 15 days beforehand. The colors are awesome and performance is good , so if you are a adult or able to adjust to a 100kg bike then you should consider it.",Daily Commute,3-6 months,5000-10000 kms,4,4,5,4,3,4,,4,,Revolt RV 400
"Very very bad customer service.... Booked revolt 9 months ago!!!! and still have not received the vehicle... And not response from the company.... Called more than 10 times... And no response.... They say it will be delivered the coming week but it has been 9 months and nothing is done and after booking they ask another 15,000 saying it's being upgraded... Not worth the time and effort. Look somewhere else...",Everything,Never owned,,1,1,1,1,1,1,,1,,Revolt RV 400
"Best bike. It is a royal bike,feels like young and energetic, very comfortable and good safety. My dream: revolt. Revolt is my love. Can silencer change bike. Superb royal bike.Best performance. King of roads. Energy saving, pollution free bike. King of electric bikes till now. Mother of all the present bikes.",Daily Commute,Never owned,,5,,,,,,,,,Revolt RV 400
E bike look is so so so amazing. We does not have a bike but i show a video which is very epic. E bike look like or feel like ktm. The bounce point is this bike feels like a pro Its an eco friendly bike. E bike does not harm the environment.,Tours,Never owned,,5,5,5,5,5,5,,5,,Revolt RV 400
"The price of the vehicle is very good it's in offer able price.
You get a feel of riding a sports bike.
It looks as a sports bike, when you move on the road all public eyes will be on your bike.
Best part of it is, it has 4 kinds of sports sound you can add any sounds you like.
Smooth, fast
Super ev bike.",Everything,< 3 months,< 5000 kms,5,5,5,5,5,5,,4,,Revolt RV 400
Absolutely terrible as no one in revolt is responding to the query and the wait till still continues after 7 months? sarcastic and going on booking further orders to accumulate crores and there is no word on the delivery. Customer service never responds to any queries and the dealership is all the more pathetic that they do not just care about the customers and their requests.,Daily Commute,3-6 months,< 5000 kms,1,1,,,1,,,,,Revolt RV 400
Awesome bike with awesome features but I need a bike to go the stadium. every day i go the stadium by cycle which is so hard. I can't purchase it because I am a student and a athlete also.,Daily Commute,Never owned,,5,5,5,5,5,5,,4,,Revolt RV 400
"Amazing buying experience. Revolt team is cooperative and explained the feature thrice to me. And picked my call and responding on whatsapp. As we know looks are amazing I am getting 130 to 140 km in single charge on eco mode.
Pros
Good looking bike
No petrol expenditure
More you run more you earn
Cons
Power switch light always on which is a bit annoying
Remove USB charger
Problem in revolt mobile app of gps",Everything,< 3 months,< 5000 kms,5,5,4,,,,4,,5,Revolt RV 400
"Nice bike electric
Good in looks
Easy to charge
Best performance
Low cost maintenance
4.5 hours charging
No pollution problem
Maintenance of motor and battery
Revolt rv 400 riding range is
80-150 km
Revolt rv 400 top speed 45-85 km/h
Revolt rv 400 kerb weight is
108 kg
Revolt rv 400 battery charging time is
4.5 hrs.
Revolt rv 400 power rated is
3000 w
Revolt rv 400 seat height is
814 mm",Daily Commute,> 1 yr,> 15000 kms,5,5,5,5,5,5,,4,,Revolt RV 400
"Very bad experience even before I start using it, I booked on Oct. 21 with 3 months waiting period, but after 5 months (on Mar. 22) after chasing again & again they handover bike to me but without a charger (saying the charger may be available within 2-3 days). But today after 15 days still waiting for a charger (what is the use of a bike without a charger). When I try to customer care they are saying ""please contact your delivery hub showroom, we have no idea for that."" and when I try to call Dwarka hub guys they are not picked my phone, if wrongly pick up after calling again & again, only single answer ""we have still not received charger, please wait 2-3 days...""
Also, I paid for 4g connectivity in my bike, but they installed 2g connectivity, it's not showing the location of my bike in the mobile app, so why I pay extra money for this type of connectivity.",Daily Commute,< 3 months,< 5000 kms,2,,,,,,,,,Revolt RV 400
"Nice bike
Better riding experience
Better technology like sounds
Everything is awesome, take a ride
A very smooth and powerful feeling
Riding like a sport one .......
Amazing breaking and throttling giving mind full of joys and happiness. Looking vise is an amazing beast one power base it too. It is a nice one at this price range.",Leisure Rides,Never owned,,5,5,5,5,5,,,,,Revolt RV 400
"Don't buy revolt it's worthless.
Worst buying experience
I took a test ride in Pune city and found it a good ev option better than the scooter option.
Booked on Nov 21, buy paying 20k as booking amount, got slot of Feb-mar 22. To date didn't receive a bike.
They don't have any customer support department or no options to solve customer issues.
Their calls didn't get connected before 10min.
Even after connecting you will get an answer that your complaint has escalated, and our people will get back to you( which never happens and didn't happen in 7 months).
Whatsapp is in pits stop.
Mails are only auto replied nothing after it. You will get the same mail each time. No one answers with solutions.
If they can't provide bikes to customers on time why do they take advances and give delivery slots.",Everything,Never owned,,1,,1,1,1,,,1,,Revolt RV 400
"Revolt motors is a fraud company. They provided a booking to me in december 2021 at navi mumbai hub and promised delivery by march-April 2022. All questions regarding booking to their customer support were redirected to say my delivery date is not yet near so the dealership will contact you near the delivery date. After the delivery date was passed, upon contact with revolt motors, customer service agents finally admitted they have no dealership operating in navi Mumbai, and my booking is indefinitely delayed. They keep lying and repeatedly asking me to wait a few more days. I contacted revolt motors to change my booking from non-existent navi mumbai hub to the actual mumbai hub in andheri which is 45 minutes from where I live.Revolt motors failed to transfer the booking to mumbai hub despite my offer to pay for the bike in full without financing. The mumbai hub has a telephone number that is always switched off.Mumbai hub offered to pursue my booking if I pay them in advance in full and then wait for them to deliver me my bike.However, revolt motors customer service representatives stated motorcycle will not be issued unless they transfer the hub for my booking and then failed to do the hub transfer. I urge everyone to recognize this company may be pulling a scam by taking people's booking amounts and delivering nothing. I tried to cancel my booking online and have been directed to contact navi mumbai dealer for cancellation- a dealer that does not exist - a fact revolt motors is well aware of, yet continues to provide bookings and references to non-existent location.",Daily Commute,> 1 yr,< 5000 kms,1,1,1,1,1,1,,1,,Revolt RV 400
"This is very good bike to ride comfortable also.This bike is very friendly to environment,not produce any of pollution that's why this bike is so successful . The battery backup is also very good my bike giving me above 150 km range with one time full charge and it is easy to charge also.This bike is pollution free,easy to maintain fuel less.",Daily Commute,3-6 months,< 5000 kms,4,4,3,3,4,,4,,,Revolt RV 400
"Details about looks, performance, no pollution, less investment with value your money. Quality of the product and features added bike, nice insurance policy with bike tiers replacement policy.India's no one electric bike. Supper mileage at one time charging, i thing it is advantage of poor people to buy this bike at no advance payment.",Daily Commute,Never owned,,5,5,3,4,3,,5,,,Revolt RV 400
It's a good and eco friendly bike. Very less maintenance and it's like you are riding normal bike.. You can drive on highway also but company should built-in charging station on at-least main highway and city..Future is for electric bike and go and grab this beauty..Will share more experience in future.,Daily Commute,6 months-1 yr,< 5000 kms,4,5,4,4,4,,4,,,Revolt RV 400
Revolt bikes are the best budget friendly bike in India in the next 2020.Both the bike revolt 300 and revolt 400 looking great having unique features.For the college students it is the best option.Further may revolt bikes put some more amazing unique sound from its riding experience is different.Great power having great sound.,Daily Commute,< 3 months,< 5000 kms,4,5,3,4,3,,4,,,Revolt RV 400
"Well, 1st of all its totally visually appealing. Awesome ergonomics, built quality looks premium.Although it is an electric bike its safer for our environment also, so i congratulate revolt to bring the future in our reach. Now its time for the truth, the most important than any question , is it worth to get one ?? lets find out together.Pros :- 1) its an electric bike (green).2) anyone , even students can afford it with mrp(my revolt plan) scheme.3) looks great. Even built quality also never compromised by revolt.4) high-tech apps features (not all features are disclose as of now, so there should be more premium features letter on ) ex- geo fensing , exhaust sound change , keyless , and riding modes.5) swapping station and battery delivery concept.6) lifetime battery warranty.7) unlimited service by revolt under mrp(my revolt plan).8) though its an electric bike the lower end pick up is heavily high.9) usd(up-side down forks).10) led head drls & projector head lamp.11) led tell lamp.15) fast charging (75% charge in 2.5hour / full charge 4-4.5 hour).16) can be charge at any place with an 15mm port.17) can run up to 150km after one charge.18) cost efficient.Cons:-1) there is no abs.2) lack of speed. (max speed 80km/h)3) weight carrying capacity. (not more than 150kg)4) battery weight is too heavy almost 19-20kg. They said if your bike run out of battery then you can carry the batter charge it and put it back and you good to go. But i don't think it is to carry 20kg.5) it is an electric bike so its initial pick up is very high so you need to be very concerned while rev the acceleration.6) the engine power could be more powerful , overall you making a bike not scooter.(personal opinion).7) bike looks great but very compact which make this look like a toy.8) additional body graphics is missing which i believe can be added.9) the bike has no exhaust sounds, but there is a speaker which produce artificial exhaust sound and it totally understandable that the sound is artificial.Now the questions:-1) should i buy this bike ??Ans :- of course.. I will buy this bike when it will available in my area.2) why ?Ans :- because, not every superhero wear mask..",Daily Commute,Never owned,,4,5,4,3,4,,4,,,Revolt RV 400
"1. In terms of power and design of the bike, you can compare it with any 150 cc bike available in market like ""pulsar, fz etc."" which ranges from Rs. 70,000 to 90000. However, you would be paying around 1,50,000 for this bike.
Plus side - eco friendly
Negative side - twice expensive, Compromise on speed and range
2. My Revolt Plan is nothing but a veil of LOAN for this bike from financial institution, ""RattanIndia Finance"" for which you would be paying 18% rate of interest and the same has already been included in My Revolt Plan.
Plus side - Zero Down Payment
Negative side - Compulsion of taking loan and submission of alot of documents and paper work.
3. No doubt there are alot of new features being show cased like remote controlled, push start button, operating bike from mobile phone, changing sound, geo fencing. I believe other features like DRLs are quite common features which are available in every bike now a days.
At the time of taking the test drive of this bike, i was told that you can only start the bike either from a remote or mobile phone and not from a key. They could not answer when I asked them how to start the bike if remote stopped working and my mobile phone is out of battery.
Although, sound coming out from the speaker is an interesting feature, however, maximum sound in itself is not at all loud and thrilling.
My overall experience with representatives at Revolt Showroom was very bad as they were neither welcoming nor were aware about the complete specifications of the bike nor could answer to my queries.
Cannot say much about the ride quality or performance of the bike because representatives only let me ride the bike in a service lane just for 2-3 minutes.
I would give an overall rating of 3 stars to this bike and my overall experience.",Daily Commute,Never owned,,3,3,3,3,3,,3,,,Revolt RV 400
This bike is very useful & pollution free and his feature is a very good like ai system and app control.The bike battery charge power is very good and mileage is a very very high compare to other electric bike ans this is 1st electric bike in India and company's emi plans is very useful to buyers.,Daily Commute,Never owned,,5,5,,4,4,,4,,,Revolt RV 400
"I never owned revolt bike,but when i seen first i think to buy .Its look is awesome, performance is best than others,design and technology used is first seen in revolt.This is better than any other bikes in all the features its no.1 ,i wish to buy revolt for my personal use,its environmental friendly.",Everything,Never owned,,4,4,4,4,4,,5,,,Revolt RV 400
"First electric bike in India. Revolt rv400 Based in ai Easy to charge Stylish and comfortable Easy emi, Ride to free and live free Eco friendly No petrol. Customize sound effect. Gps enabled. Control with smartphone. Bluetooth connectivity. Best for city ride Robotic looking head light Most advanced technology Rv 400.",Everything,< 3 months,< 5000 kms,4,4,4,4,,,4,,,Revolt RV 400
"Booked on 5th oct and got on Dhanteras, very nice experience and riding is like a sport bike pick up is great. Looks decent and battery performance us very good. Service and maintenance is not done as bike is run only 100 km.
Pros
Eco friendly
Double disk brakes
Nice pickup
Gearless
Very good ride control.
No petrol expenses
Cons
Limited ride
Charging time
Charger carrying.",Everything,< 3 months,< 5000 kms,4,4,4,5,4,4,,4,,Revolt RV 400
I really enjoyed this bike for city use its perfect bike and you can use it according to you. If you need average you can use low battery consumption mode other than this this bike looks sporty if you ride on the this bike so you will feel that its a sport bike and i like most its sound feature you can also change sound.,Daily Commute,6 months-1 yr,5000-10000 kms,5,5,4,4,4,,5,,,Revolt RV 400
"Battery life is good, puck is extraordinarily...I like this bike very much ...No tension of refueling....In city riding it is the best i have ever seen...The special about this bike is 7 year battery makes trusted vehicle. it is the first even electric bike which is capable to defeat modern petrol bike and scooter..",Everything,3-6 months,< 5000 kms,5,5,5,5,5,,5,,,Revolt RV 400
I have seen videos. Revolt rv 400 will sure bring the change in market also in future. I like the futuristic technology anti-theft system gps service. More over the sound system for exhaust but would love to have bluetooth connection to the speakers so can play songs. I will sure buy this bike as it's the gate way to the future.,Daily Commute,Never owned,,5,3,3,4,2,,4,,,Revolt RV 400
"I have not ridden the bike, but looking so good & dashing. I want bike in my home town patna city. Initial cost high but running cost is very low according to petroleum bikes & pollution free to air & sounds. It's natural & renewable type of energy bike specially for men(boys). I am satisfied for both disc brake system.",Daily Commute,Never owned,,5,5,5,5,5,,5,,,Revolt RV 400
I see this bike at kirti nagar delhi industrial area i drive my bike but another rv400 driver overtakes me without any noise this is great experience for me .. I really want to purchase this bike... But cost is very high and bike specifications are clearly mentioned i tried so many times.,Occasional Commute,Never owned,,4,4,4,4,1,,4,,,Revolt RV 400
"I purchased my Bike before 1 week on 37 EMI's, Total cost of 1.5 Lac, Total drive experience of 500 Km. I can say smooth and quick running, very good driving experience, After one full charge of Bike performance are as per below 1. at Max. speed limit of 42 km/Hrs. total range 140 Km., 2. at Max. speed limit of 60 Km/Hrs. total range 95 Km., 3. at Max. speed limit of 80 Km./Hrs. total range 80 Km.",Daily Commute,< 3 months,< 5000 kms,4,4,4,4,3,,4,,,Revolt RV 400
It looks like a good bike. Dashing look. Mesmerizing. What not to say about it. It is like fz of yamaha. Very good as it is electric vehicle. You can use it .It is little more costly but can be a good option. It should praise your interest towards electric vehicle.,Leisure Rides,Never owned,,4,5,4,3,1,,4,,,Revolt RV 400
"Rv400 is good e-bike we are sharing with you our good and bad experience, bike pickup look like petrol bike, led lamp is give us best vision in night, average is good no daily petrol tension.Bad experience- no central stand, no option for leg guard, siting no comfortable, cover should be on belt, foot rest is not best.",Daily Commute,> 1 yr,5000-10000 kms,4,3,3,4,4,,3,,,Revolt RV 400
"The biggest issue before going electric is range and performance. The bike is below mediocre in both. Stated range of 100 km is not enough. If we travel 30km to and fro add to it the loss of inefficiency we are staring at 70-80 kms range which would put battery to its limits since stated range is always far fetched. Now lets add realistic assumptions. 1-the sub tropical climate of india with scorching summers of 40+ radically affects battery life and range over years. We are starting at 70% efficiency within 2-3 years at best. Though the decline after initial fall would be slower. Typical reason why most manufacturers prefer liquid cooling for battery. If they don’t for cost savings, stay away for you will pay in future. 2-the battery life also depends on its peak charge and its lower extremity over repeated use. Maintaining a charge of 80% as max would be suitable most of the time and so for downsides of 20% that limits the battery charge usable to 60% for regular days. 60% of 100km - inflated statement (assume 20%) - 2-3 years degradation We are already staying at range of 40-60 kms depending on individuals driving habits and use case. I would happily pay a premium for electric is performance parameters are atleast at par with regular bikes from range to top-speed. I fully understand the economics under play and rate of returns and current bikes of range 100-150 are not worth it. Add to it their limited to speed and rigidity. Waiting for 4th gen products. Remember what happened with smart phones. We barely recall what first few generations looked like until they are good enough to attract our attention. Till that time let’s enjoy the last of this smoking hot barrels.",Daily Commute,Never owned,,2,2,2,1,4,,1,,,Revolt RV 400
Its very comfortable and superb ride and mileage is last long very simple and useful. Low maintenance bike easy to maintain. Lovely experience just like pocket friendly and its high demand in market when my friend purchased i think so many company bike but my opinion goes wrong because this is very high thinking and high level bike so its great to buy today i am big fan of this.,Daily Commute,Never owned,,5,5,5,5,5,,5,,,Revolt RV 400
I have seen its feature And amazing 7 and half year battery warranty make me happy And 150 km in one charge. It's amazing road touch performance and sporty look make me to purchase this bike.Right now m stuck at gujrat. I will purchase it when i will be in mumbai city at my home. Love revolt rv400 With love.,Everything,Never owned,,5,5,5,5,5,,5,,,Revolt RV 400
