Review,Rating,Attributes Mentioned,Model
"Nice to drive and comfortable for traveling, safety features are so good. It is a low cost compared to other EV cars.",5.0,['comfort' 'safety'],Tata Nexon EV
"The car is excellent in safety, being electric per km running cost is very less. the car is very spacious and comfortable for sitting. Even the electric charging points are now on the pick so that you can take your car for a spin on the long road,",5.0,['comfort' 'safety'],Tata Nexon EV
"I really love this Tata Nexon EV, its really very nice and comfortable car and it's a battery car so overall, I love it.",5.0,['comfort'],Tata Nexon EV
"I have seen lots of reviews regarding the Nexon EV Range in Kolkata, some say 150, 180, 200. But for my friends, i have daily commute of 70-80 KM and in the city, I am getting 220-230 range with a single charge. The Sales Person of TATA was true that the running cost is Rs. 1/- per KM and service cost is NIL. Nexon comfort and Value for money ...",5.0,['comfort'],Tata Nexon EV
"Am using Nexon EV XZ+ LUX in Chennai for the past one month, basically for the urban commute. Getting a range of 210km for 100%. Normally I recharge it when it comes to 25% for which I used to get a range of 165 to 170kms (for 75%). This is with AC and infotainment. I have used only AC slow charger till now, never used DC fast charger. - Daily trav...",4.5,['comfort' 'maintenance' 'ac' 'speed' 'pickup' 'infotainment'],Tata Nexon EV
I like this car's safety and comfort and the design is impressive and I prefer all the people to buy this car because at this price. Tata brings the car at electric version and its design at this price is impressive.,4.5,['comfort' 'price' 'safety'],Tata Nexon EV
"It's an awesome car with every built-in feature specially the safety ratings are too good may be the first car in is a segment to reach 5 stars and in this EV version, it's going to beat everyone under TATA logo. With this much torque and power in the electric version, it's going to catch eyes of the buyers and also environment-friendly. With a new...",5.0,['comfort' 'power' 'safety' 'seat' 'space' 'style' 'torque'],Tata Nexon EV
"It's a wonderful car, it offered a smooth engine and is easy to drive. The driving quality is also good. This is a value for money car.",5.0,['engine'],Tata Nexon EV
"It is one of the best EVs, gives a luxury feel and the interior of the vehicle is pretty great. Specifications like the ground clearance and sound system are good.",4.5,['interior' 'clearance'],Tata Nexon EV
"Overall good car and the style of the car is attractive. It has great security features, it comes with airbags and the interior is awesome.",4.5,['interior' 'style' 'airbags'],Tata Nexon EV
"Driving the car for more than a month now. Pros: 1. Silent car, no noise, and vibration. 2. very little maintenance cost. 3.easy to charge. Cons: 1. Company claims a range of 300 but the real-world range is 140 km per charge with AC, and 150 km without AC. 2. Interiors are very average, plastic quality feels cheap and makes a squeaking sound. 3. St...",2.5,['interior' 'maintenance' 'ac' 'noise' 'steering'],Tata Nexon EV
"As a fresh convert to driving a car with a green streak, the most striking thing is that the Nexon EV Lux+ (top end) is noiseless. Second is tremendous power and smooth acceleration of the electric motor felt at the word go. The many sensors that make auto settings possible delight you and sometimes surprise you like to headlamps, the rain-sensing ...",4.5,"['interior' 'power' 'ac' 'seat' 'driver' 'headlamp' 'sunroof' 'sensors'
 'vent']",Tata Nexon EV
Very good Jarvis. The most efficient in this segment in India. Tata Nexon is one of the most powerful 35kw batteries.,5.0,['power'],Tata Nexon EV
"Nice car, I would rather say very silent, very powerful. Tata has done a nice job, to promote electric vehicles, without compromising power output. There are many rivals as well but it would be unbeatable. This car charges from 0% to 80% in just 60 minutes and runs for 312 km with an impressive top speed of 140km /h. I recommend it if you go for an...",4.5,['power' 'speed'],Tata Nexon EV
"Love this vehicle. Features are too good. Even at this price, no one gives this kind of fabulous car. I will suggest to you, it is a value for money. Go for it.",5.0,['price'],Tata Nexon EV
"Tata has truly come up with the best in class electric cars which is a great combination of price, ride quality and battery efficiency.",4.0,['price'],Tata Nexon EV
"One of my worst decision was to buy an EV. The range is very limited, can't operate AC to ensure reaching home without being stuck in the middle. Lot of problems with SBM, and it is damn costly to maintain this. Pathetic car, don't buy, not worth it at all. Petrol cars are far much better, prices are high as of now but I'll come down eventually",1.0,['price' 'ac'],Tata Nexon EV
"Wonder car at the best price, pickup amazing, drivability so smooth, service expenses negligible and above zero pollution",5.0,['price' 'service' 'pickup'],Tata Nexon EV
"Upgrade in Tata Motors in on next level Best service, Electric car of India with the lowest price. Thumps up to Ratan Tata.",4.5,['price'],Tata Nexon EV
"Car bang for the price. ARAI claim 312km per full charge, after a lot of research I found real-world range is 193km, a good driver will get 240km max. This car is good for city drivers and one-day outing, the long journey definitely doubtful. You can't charge every 3 hours once. It's bit irritating. But cost per km 0.50paisa to 1.2Rs/km. It's ...",4.5,['price' 'driver'],Tata Nexon EV
Best EV in the country considering the relatively affordable price tag. Undercuts the MG ZS price by more than 5 lakhs.,5.0,['price'],Tata Nexon EV
Tata doesn't provide any safety or any facility regarding defective product customers are facing so many problems. Battery drops and software problem they must replace the defective product,1.0,['safety'],Tata Nexon EV
Total safety and electric car. Safety first priority of Tata As you know and Nexon is the safest car so Nexon Ev will be double the safest.,5.0,['safety'],Tata Nexon EV
It is a good car with great safety features and good Colour combination. It is a complete product.,3.5,['safety'],Tata Nexon EV
"I bought Nexon EV last Friday. I used it on Saturday and plug for charging. Battery overheating alarm flashed while charging. Since then my new vehicle is in the service station (122km driven only). Battery discharging very fast. Very disappointed with Nexon EV. Moreover, the dealer has not solved my problem yet. They don't have enough ma...",2.5,['service' 'dealer' 'experience'],Tata Nexon EV
"I have done my 2nd service of my Nexon EV LUX. I drove 7800 km, 5 months over. I found 3 times there is a sudden drop in battery percentage from 60% to 20% 1st time and 2nd time the battery percentage dropped from 50% to 22%. This is really horrifying if u go for a long drive then you will be in real soups. Sometimes I feel I have done a mistake in...",2.0,['service'],Tata Nexon EV
"The battery does not charge fully. does not give the range as the company says. The company says the range is 250 km per charge but only goes 160 km per charge. After car service, the battery issue was not resolved at all. And car stops in the middle of the road due to service error only after 2 days of service.",1.5,['service'],Tata Nexon EV
"Tata Nexon EV is an innovative car, 5 stars crash rating safest, connected, 3 variants, the perfect car for sustainable mobility, good range, low maintenance, globally first A Benchmark!",5.0,['maintenance'],Tata Nexon EV
"Best EV as of now. The car is very stable. And the sports mode is ultimate. You can get a range of 180 to 190 with AC, without AC you Can Get a Range of 200 to 220. We are satisfied with the car! Product By Tata",5.0,['ac'],Tata Nexon EV
This is a very good car. Its driving is very amazing. No noise and no pollution. The charging speed is very good.,4.5,['speed' 'noise'],Tata Nexon EV
"It is a very good car with a sunroof on it. Art of car generation in India. I like the space in the car to relax, and it makes no sound. It is a pleasure to have this car",5.0,['space' 'sunroof'],Tata Nexon EV
The car is great . Its legroom and ground clearance is also good.  ,5.0,['clearance' 'legroom'],Tata Nexon EV
I am highly disappointed by this car due to the range and behavior of the dealer. I am driving this car daily for the last four months and very much upset by the real-world range. I really feel cheated.,2.5,['dealer'],Tata Nexon EV
"It is a wonderful car to drive. However, I faced some problems which could have been quite dangerous for me and others in the car. The car suddenly switched to neutral while on the move and the steering and brakes, which are power-assisted, stopped to work. Luckily, the car was slow so it came to a halt very soon. Otherwise, could have been a major...",3.5,['dealer' 'steering' 'lights' 'parking'],Tata Nexon EV
Guys this is my personal experience please do not buy it I have purchased this car on 24/10/2020. I found this is not running properly and suddenly it's gone break down I called the team and they have taken it for a survey and after 8 days its sudden stop on road and they again take it and admit is as a patient. My recommendation is not to buy it t...,1.0,['experience'],Tata Nexon EV
This new vehicle can change the entire market. Soon all the competitors will fall into it and we will get enhanced versions each year. Nice startup Tata hopes your Nexon will get most EV sales. I think that the battery has some risk for some mishaps. Like a single leakage in battery or any accident can turn into blast hope they have taken care of i...,4.0,['warranty'],Tata Nexon EV
Excellent and safest and cheaper car in comparison to other cars of its size. Tata has worked very hard from a couple of years in bringing class. ,4.5,['comparison'],Tata Nexon EV
"In Nexon EV sometimes having a gear mode changing issue. It can't turn to drive mode sometimes, it stays in neutral. It is a big issue. The showroom has made it alright, but I think there might be the same issue all along.",2.0,['gear' 'showroom'],Tata Nexon EV
Overall good car. It has good mileage and the performance of the car is fantastic. The sunroof is also good. It's good for long drives.,4.5,['mileage' 'performance' 'sunroof'],MG ZS EV
Overall this is a perfect car. Its good mileage and comfort were excellent. Moreover riding Ev will give you a better experience.,4.5,['mileage' 'comfort' 'experience'],MG ZS EV
"This is an excellent car in all aspects, its drive quality is good, safety, mileage, interior, exterior, speed, maintenance, pickup etc, all things are good in this car.",5,['mileage' 'interior' 'exterior' 'maintenance' 'pickup' 'safety' 'speed'],MG ZS EV
"It is a futuristic car with comfort, practical stylish design, economically great, and good performance.",4.5,['performance' 'comfort'],MG ZS EV
"I feel the car is good enough on the inside but I felt that MG could have done a much better job on the outside especially - the design on the front. The artificial grill on the front is pretty lame - very disappointed with MG on that part. Apart from that, the other features inside the car are something that I guess MG has followed like a traditio...",3.5,['looks' 'interior' 'parts'],MG ZS EV
"Its a really an awesome car, very comfortable with figure-hugging seats. Soft-touch sides and dash generally look much more valuable. Higher-spec car. After driving for a while I can honestly say that the MG ZS EV is a really nice place to be. The panoramic sunroof is just pure Zen. This is how to drive and experience mindfulness at ...",5,['looks' 'comfort' 'seat' 'experience' 'sunroof'],MG ZS EV
"The car looks beautiful and is amazing to drive. However, it can only allow two people to sit in the back comfortably. ",4,['looks' 'comfort'],MG ZS EV
Overall it is a good car with features that are pretty good. And looking at EV cars it is the best mid-range model EV.,3.5,['looks'],MG ZS EV
"Very comfortable and affordable for an electric car, Smooth to drive. Great family car or great for anyone.",4.5,['comfort'],MG ZS EV
"Superb car in this generation. And the battery is very good, the interior is the best. The car design is very beautiful.",5,['interior'],MG ZS EV
Outstanding features with great driving range. Far better than its rivals. It's a highly futuristic car but the price is a bit high.,5,['price'],MG ZS EV
It was a good buying experience I received the car the previous month and took it on a long drive to Mumbai and its riding experience is just awesome.,5,['experience'],MG ZS EV
"The best electric vehicle to buy on a low budget which needs low maintenance, and is very powerful, it has amazing performance.",4.5,['performance' 'power' 'maintenance'],Tata Tigor EV
"Just drove 500 km with the new Tigor EV, I would say the performance is just perfect for urban driving.",4.5,['performance'],Tata Tigor EV
"Tata Tigor quality is best for other company's. Made in Indian-built quality, the most popular car in the world. Performance was good",4.5,['performance'],Tata Tigor EV
It is a very comfortable and safest car for long travel. It's good looking also.,5,['looks' 'comfort'],Tata Tigor EV
Tata Tiago is one of the best EVs considering in its price range. The comfort level is actually amazing. The best part about it is the colour of it is so attractive.,5,['comfort' 'price' 'parts'],Tata Tigor EV
"The mileage of Tata Tigor is very good and also comfortable boot space, it is a very good car for every 5 people such average is not in any electric car. There is no better car in strength than a Tata car. I love this car.",5,['comfort' 'boot' 'space'],Tata Tigor EV
"Overall a great experience with some nitty-gritty here and there. The car offers great comfort and a smooth driving experience, but the Tata Z connect app is buggy and sluggish. Although I found an app called Keemut, which offered a lot better experience than Tata Z connect with more features. Do check out Keemut if you want to know better about th...",3.5,['comfort' 'experience'],Tata Tigor EV
Smooth driving experience with low running cost & high safety rating. Built quality is impressive. After driving this car for 2 months I don't want to drive any IC engine car.,5,['engine' 'experience' 'safety'],Tata Tigor EV
"It provides so many features, power steering, airbags, fog lights, anti-lock braking system. Worth purchasing the car.",4.5,['power' 'lights' 'airbags' 'steering'],Tata Tigor EV
"Tigor Petrol price is 7 lakhs on the road whereas EV price is 13 lakhs on road. It means you are paying 6 lakhs more in advance ( Add interest cost on the additional amount if financed through the bank) that way you are not saving on fuel costs. Secondly, the range will go on to decrease over the years as the battery life will reduce. Secondly, inc...",3.5,['price' 'ac' 'music' 'speed'],Tata Tigor EV
"The best electric car I have ever seen, it's better than MG because it's half the price and the same mileage, but lacks some features.",5,['price'],Tata Tigor EV
"One of the only options available in EVs gets the same features as the regular Tigor. Since it's an EV you need to worry about the fuel prices, but it seems a little overpriced, at least to me.",4.5,['price'],Tata Tigor EV
"I like Tata cars, and also like EV in the best price range for middle-class, people can afford this car, so I love this car, thanks to Tata",5,['price'],Tata Tigor EV
"Everything is awesome in this car, mileage and maintenance cost are good. It was good experience for me and overall it's a great car. ",5,['experience' 'maintenance'],Tata Tigor EV
Tata should introduce white and light colors like silver and grey in Tigor EV. Customers are waiting for the same.,4.5,['lights' 'color'],Tata Tigor EV
"It's one of the best EVs of course after Tesla. The design is attractive and the car is very comfortable. Its mileage is the best. The drive is so comfortable, and the steering gives a different vibe.",4.5,['mileage' 'comfort' 'steering'],BYD E6
A stylish and comfortable EV with great features and good colour options. Look very high tech and stunning on the road.,4.5,['looks' 'comfort'],BYD E6
"Was using KIA Seltos automatic and Nexon EV. Recently sold Seltos and move to BYD E6. Based on the experience with Nexon EV I can say it's a Best Buy currently available in the EV segment. In Nexon EV we used to say the range is 250km by driving the car painfully slow ,full time look on to graph and control acceleration. In BYD it brings range...",4.5,['looks' 'comfort' 'space' 'automatic' 'experience' 'luggage'],BYD E6
BYD car really looking very nice. Outlook is fantastic. The interior is also amazing. Everyone is acceptable for this car. l love BYD cars. Thank you,4.5,['looks' 'interior'],BYD E6
"The range is very well more than expected. All features available, comfort is pretty good but now not sure about the maintenance little worry about it. But overall worth buying.",4.5,['comfort' 'maintenance'],BYD E6
